ra_j2000,dec_j2000,primary_name,gaiadr2_source_id,gaiaedr3_source_id,hip,hd,tic,2mass,wisea,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,gmag,bp_rp,radial_velocity,radial_velocity_error,ref_epoch,gaia_teff,gaia_teff_lower,gaia_teff_upper,gaia_radius,gaia_radius_lower,gaia_radius_upper,gaia_lum,gaia_lum_lower,gaia_lum_upper,spectrum_hires,spectrum_hires_resolution,spectrum_hires_nobs,spectrum_hires_snr,spectrum_harps,spectrum_harps_nobs,spectrum_harps_snr,spectrum_sophie,spectrum_sophie_nobs,spectrum_sophie_snr,spectrum_hermes,spectrum_hermes_snr,spectrum_hermes_nobs
243.1798143391603,43.6495841185783,HD146099,1385109399430447232,1385109399430447232,79434,146099,219488822,16124314+4338584,J161243.27+433858.5,243.18054017659,0.014,43.64959626026,0.0137,13.3565,0.0154,118.169,0.017,2.731,0.019,7.997591,0.692729,3.36,0.19,J2016.0,6112.2001953125,6066.0,6165.0,1.4510540962219238,1.4263055324554443,1.4732414484024048,2.6475989818573,2.6389875411987305,2.656210422515869,,,,,,,,true,4,98.3,,,
4.6744486491337,-8.0530010638606,HD1461,2430102808294101760,2430102808294101760,1499,1461,37748347,00184182-0803105,J001842.16-080312.4,4.67632303859,0.0255,-8.05364062584,0.0156,42.7308,0.0299,417.579,0.033,-143.9,0.024,6.307263,0.833177,-10.16,0.18,J2016.0,5764.5,5727.25,5890.0,1.121218204498291,1.0739470720291138,1.135850429534912,1.2506091594696045,1.2483993768692017,1.2528189420700073,true,71600.0,9,207.8,true,195,682.9,true,2,161.3,,,
244.0816846666566,-1.6481314872225,HD146433,4407056807034649472,4407056807034649472,79730,146433,74094052,16161961-0138534,J161619.53-013853.1,244.0811324416,0.022,-1.6480008442,0.0197,22.41,0.0281,-124.199,0.031,29.395,0.022,6.959381,0.650056,-40.3,0.2,J2016.0,6263.0,6158.0,6380.0,1.325724482536316,1.2775466442108154,1.3713197708129883,2.4363009929656982,2.4292030334472656,2.443398952484131,,,,,,,,,,,,,
244.1508098965051,-10.1896599060968,HD146434,4344238615362269056,4344238615362269056,79749,146434,135701393,16163619-1011226,J161636.17-101123.3,244.15069242518,0.1396,-10.18988606394,0.1009,18.3049,0.1645,-26.014,0.176,-50.886,0.135,7.979296,0.848764,-32.9,5.76,J2016.0,5712.33349609375,5591.25,5768.099609375,1.2217363119125366,1.198227047920227,1.2752249240875244,1.4318710565567017,1.415257215499878,1.4484848976135254,,,,,,,,,,,,,
35.9045706184022,52.6817061010896,HD14647,452046549154458880,452046549154458880,11161,14647,301335047,02233710+5240541,J022337.01+524053.5,35.9039759083,0.0203,52.68143472286,0.0222,12.6487,0.0257,-81.121,0.029,-61.06,0.035,7.827165,0.584293,-41.96,3.21,J2016.0,6551.25,6459.86669921875,6684.35693359375,1.4461179971694946,1.389097809791565,1.4873218536376953,3.4705543518066406,3.4526052474975586,3.4885034561157227,,,,,,,,,,,,,
244.0607594842519,19.5247713836526,HD146588,1201535242998445568,1201535242998445568,79720,146588,135268632,16161458+1931286,J161614.60+193131.8,244.06090505543,0.0514,19.52594946692,0.0434,23.4573,0.0764,30.87,0.061,265.069,0.059,7.670563,0.708028,2.57,0.15,J2016.0,6090.23291015625,5915.0,6229.89990234375,0.9709620475769043,0.9279144406318665,1.029344081878662,1.1685165166854858,1.1654624938964844,1.1715705394744873,,,,,,,,true,5,100.7,,,
243.7378172809742,60.6697695740896,HD146868,1625058605098521600,1625058605098521600,79629,146868,198160324,16145709+6040109,J161457.12+604015.9,243.73807118202,0.0155,60.67175125074,0.0155,32.3407,0.0158,27.984,0.02,445.877,0.024,7.525532,0.847594,-17.93,0.15,J2016.0,5613.89990234375,5427.900390625,5909.0,0.8939606547355652,0.8069000840187073,0.9562776684761047,0.7151385545730591,0.7141392827033997,0.7161378264427185,,,,,,,,true,8,134.1,,,
244.4415180484694,31.8043833901263,HD146946,1319438043804452352,1319438043804452352,79837,146946,17618172,16174594+3148154,J161746.10+314818.8,244.4423420795,0.0943,31.80577071164,0.1308,34.5021,0.1347,157.569,0.125,312.147,0.17,6.714828,0.795876,-34.72,0.29,J2016.0,5771.25,5685.5,5846.25,1.1071895360946655,1.078964114189148,1.1408392190933228,1.225231647491455,1.2183210849761963,1.2321422100067139,,,,,,,,,,,,,
243.9772805020945,58.4790162296371,HD146990,1622395102603557888,1622395102603557888,79697,146990,207434579,16155456+5828446,J161554.56+582844.7,243.97736481378,0.0222,58.4791020549,0.0213,12.1521,0.0218,9.918,0.034,19.311,0.032,7.908262,0.623044,-19.8,0.16,J2016.0,6449.23291015625,6385.0,6503.7001953125,1.4839121103286743,1.4591612815856934,1.5139185190200806,3.431968927383423,3.4185492992401123,3.4453885555267334,,,,,,,,,,,true,167.736625029995,1
244.5244875869448,34.4827628833622,HD147044,1329002145698389760,1329002145698389760,79862,147044,17617323,16180588+3428581,J161805.83+342857.2,244.5241851585,0.0117,34.48246778639,0.0151,26.5293,0.0174,-56.09,0.015,-66.397,0.022,7.362607,0.764796,-14.7,0.16,J2016.0,5938.5,5876.75,6031.0,1.0365667343139648,1.0050139427185059,1.0584646463394165,1.2039161920547485,1.2017649412155151,1.206067442893982,,,,,,,,true,1,77.8,,,
244.8579449428626,5.5381165939018,HD147062,4437848836328249088,4437848836328249088,79975,147062,326861224,16192590+0532170,J161925.87+053217.0,244.85779621583,0.0152,5.53801200628,0.0128,14.1086,0.0205,-33.307,0.023,-23.532,0.019,7.463553,0.753916,-46.88,0.14,J2016.0,5949.0,5901.0,6012.75,1.8525019884109497,1.8134280443191528,1.882761836051941,3.8724687099456787,3.8567352294921875,3.88820219039917,,,,,,,,true,4,109.8,,,
243.7093721057228,70.9296664458476,HD147231,1653185486926274048,1653185486926274048,79619,147231,230072155,16145024+7055469,J161450.23+705543.9,243.7093027926,0.0152,70.92838910388,0.015,24.9156,0.0149,-5.095,0.022,-287.402,0.02,7.668092,0.865895,-16.87,0.17,J2016.0,5654.0,5600.33349609375,5716.0,1.0697616338729858,1.0466806888580322,1.0903624296188354,1.0536394119262695,1.0518490076065063,1.0554298162460327,true,71600.0,1,91.0,,,,true,1,58.5,,,
245.3472316588235,6.6653277681639,HD147369,4439706323784836224,4439706323784836224,80134,147369,318808924,16212333+0639551,J162123.27+063955.4,245.34684582721,0.0179,6.66542388052,0.0155,13.2071,0.0272,-86.225,0.023,21.625,0.02,7.955507,0.696834,-8.28,0.14,J2016.0,6133.5,6033.25,6192.10009765625,1.4940754175186157,1.4659302234649658,1.5441397428512573,2.8462510108947754,2.831387758255005,2.861114263534546,,,,,,,,,,,,,
244.1781097865395,67.2388421264101,HD147379,1642641410934267008,1642641410934267008,79755,147379,230073581,16164280+6714196,J161641.85+671420.6,244.17238993246,0.0153,67.23921576834,0.0143,92.8766,0.0146,-497.915,0.018,84.047,0.018,7.901774,1.832734,-19.86,0.19,J2016.0,3820.10498046875,3621.0,4030.52490234375,0.7650752067565918,0.6872765421867371,0.8515255451202393,0.11230631172657013,0.11222171783447266,0.1123909056186676,true,71600.0,2,173.2,,,,true,290,155.5,,,
