Name	S2D SOPHIE	SNR co-added SOPHIE
HD124694	2	95.4
HD124642	1	51.8
HD124553	1	119.3
HD125193	3	128.8
HD125141	5	103.3
HD125272	5	110.8
HD125184	42	342.3
HD125408	4	81.4
HD126323	15	365.4
HD126053	2	157.0
HD126453	44	257.3
HD126675	13	175.2
HD126512	23	455.8
HD126583	4	134.3
HD126945	9	164.4
HD126961	2	114.5
HD127334	1	137.6
HD127540	10	161.0
HD127667	4	87.9
HD127825	3	96.4
HD128165	29	283.9
HD128385	15	353.2
HD128332	6	155.9
HD128311	30	323.5
HD128729	15	159.7
HD128596	1	64.8
HD128799	17	167.4
HD129333	2	126.7
HD129499	11	350.9
HD129425	3	63.0
HD129171	10	144.3
HD129209	3	117.9
HD129354	3	108.0
HD129357	9	141.1
HD129232	3	50.7
HD129412	2	68.5
HD130004	3	113.3
HD130087	1	94.1
HD130215	3	114.1
HD130125	4	56.1
HD130445	44	266.7
HD130307	2	154.8
HD130396	30	235.7
HD130987	4	126.2
HD130818	7	117.0
HD131194	25	297.1
HD131042	77	528.7
HD131526	47	273.4
HD131599	2	64.1
HD131511	1	151.3
HD132142	1	48.0
HD132254	72	972.7
HD132032	16	145.5
HD132307	2	118.6
HD132505	3	67.1
HD132720	10	116.4
HD132756	13	285.1
HD133161	3	107.8
HD133826	5	253.0
HD134044	20	523.3
HD134169	13	164.5
HD135143	3	80.6
HD135045	3	89.8
HD135101A	11	269.0
HD135101B	11	269.0
HD136064	4	164.5
HD135599	19	391.7
HD135991	15	160.2
HD136118	2	80.8
HD136274	7	146.5
HD136749	16	169.0
HD136713	1	48.0
HD136834	2	54.5
HD136923	1	69.0
HD136925	3	62.8
HD139213	2	85.3
HD137870	5	119.5
HD138004	47	390.0
HD138057	4	116.2
HD138367	18	302.5
HD138246	4	112.4
HD138339	5	140.3
HD138573	286	745.9
HD138919	2	71.3
HD139323	66	273.4
HD139324	113	611.0
HD139389	20	473.0
HD139457	2	96.3
HD140412	8	133.6
HD139590	49	466.6
HD140208	13	153.6
HD140324	3	104.7
HD140572	11	140.7
HD141039	50	485.6
HD140812	2	126.8
HD140913	1	37.0
HD140750	8	113.5
HD141024	4	54.0
HD142006	10	130.5
HD141399	149	319.2
HD141272	8	206.3
HD141247	1	40.1
HD142093	43	554.1
HD142229	27	381.2
HD143105	115	506.5
HD142535	64	330.9
HD144061	34	426.8
HD143291	43	386.3
HD143292	2	71.6
HD143436	2	67.1
HD143705	2	68.6
HD143893	3	106.1
HD144302	7	115.6
HD145368	32	232.9
HD144287	6	258.1
HD144172	7	152.3
HD144579	1	97.1
HD144705	8	116.5
HD144585	2	146.6
HD144821	1	48.1
HD145435	4	305.8
HD145229	1	43.7
HD146044	2	70.3
HD145645	3	95.9
HD146079	15	170.6
HD146099	4	98.3
HD147231	1	58.5
HD146868	8	134.1
HD146588	5	100.7
HD147379	290	155.5
HD147044	1	77.8
HD147062	4	109.8
HD147512	27	359.2
HD148049	2	67.1
HD147887	2	86.5
HD148329	1	83.2
HD149222	4	92.2
HD149105	1	79.8
HD148816	3	93.6
HD150706	78	782.5
HD149143	1	32.8
HD149890	5	108.9
HD149933	1	51.1
HD151084	2	77.5
HD150122	14	161.3
HD150554	2	69.0
HD150633	4	76.6
HD151044	8	217.6
HD151541	1	34.6
HD151426	8	120.5
HD151288	1	51.5
HD151465	12	156.7
HD152264	16	163.0
HD152305	4	115.2
HD152446	3	81.8
HD152391	2	114.8
HD152792	1	3.7
HD153344	3	207.7
HD154159	3	78.3
HD153525	20	152.4
HD153668	8	175.2
HD153376	15	251.6
HD153458	1	44.7
HD153627	1	50.2
HD153701	10	129.9
HD153970	6	140.9
HD154355	3	107.8
HD153915	12	115.2
HD154345	51	505.5
HD154417	6	190.4
HD155859	1	41.5
HD155060	1	111.6
HD154865	1	63.5
HD155228	12	222.0
HD155358	2	131.1
HD155193	83	378.4
HD155423	2	156.7
HD156279	66	293.3
HD155712	3	85.7
HD156728	10	116.9
HD157102	4	110.2
HD156985	34	174.4
HD156968	2	59.2
HD157373	22	370.2
HD157089	16	211.7
HD157466	2	116.0
HD157347	6	149.4
HD157637	38	195.5
HD158096	48	228.8
HD158633	81	517.0
HD158222	1	104.4
HD158259	300	987.7
HD157881	24	181.5
HD158210	7	122.4
HD158332	50	340.7
HD159329	2	76.2
HD159062	34	458.5
HD158736	2	59.8
HD158917	4	91.5
HD158809	1	66.4
HD159063	1	66.4
HD159222	1	114.6
HD159333	6	86.0
HD160245	2	66.7
HD160420	6	115.6
HD160506	9	149.6
HD161897	24	348.9
HD161163	2	63.7
HD161198	2	127.0
HD162195	7	137.4
HD161479	11	114.8
HD161728	9	110.0
HD163183	149	886.1
HD162209	3	67.1
HD162826	4	225.7
HD162917	15	588.5
HD163714	3	84.3
HD163589	2	67.7
HD163621	27	400.8
HD163622	5	85.3
HD163750	5	111.8
HD164595	299	819.3
HD164651	12	219.7
HD164922	1	71.5
HD165281	11	215.5
HD165173	31	339.5
HD165504	4	98.2
HD165476	24	186.8
HD167407	8	123.4
HD165672	49	217.2
HD166435	32	581.1
HD166620	1	85.6
HD167215	20	185.0
HD167588	4	195.8
HD168093	9	151.9
HD168009	1	108.2
HD169925	23	207.7
HD169905	4	83.5
HD168874	8	149.4
HD168960	3	89.4
HD169244	4	151.0
HD169359	6	110.7
HD169748	4	97.8
HD169886	4	117.1
HD169822	1	98.3
HD170294	3	65.7
HD170512	5	102.9
HD170493	1	55.3
HD171067	67	474.8
HD234677	22	412.1
HD171488	14	293.3
